sample_1	sample_2	ANI	MASH	dDDH	population
SRR2584467	SRR2584490	95.4409	0.015616	0.9981236203090508	Ara+1
SRR2584467	SRR2584518	97.8417	0.0137488	0.9973070017953322	Ara+1
SRR2584467	SRR2584508	98.8937	0.0178909	0.9969478962284718	Ara+1
SRR2584467	SRR2584519	98.4199	0.0188053	0.9984301412872841	Ara+1
SRR2584467	SRR2584520	98.895	0.013112	0.9975414874001229	Ara+1
SRR2584467	SRR2584521	97.3876	0.0124	0.996742671009772	Ara+1
SRR2584467	SRR2584522	98.9888	0.0136002	0.9962560838637214	Ara+1
SRR2584467	SRR2086043	96.8	0.0134036	0.9978422440661712	Ara+1
SRR2584467	SRR2086070	99.4169	0.0278663	0.9961986511342734	Ara+1
SRR2584467	SRR2584524	99.5504	0.164662	0.9945855115758029	Ara+1
SRR2584467	SRR2584534	99.7393	1	0.9908570754438742	Ara+1
SRR2584467	SRR22764941	99.8305	0.186761	0.9770322580645161	Ara+1
SRR2584470	SRR2584490	99.2126	0.0178312	0.9965730709705948	Ara+1
SRR2584470	SRR2584518	99.7081	0.0142009	0.995642944922355	Ara+1
SRR2584470	SRR2584508	94.6685	0.0197565	0.9978404060036713	Ara+1
SRR2584470	SRR2584519	98.7878	0.0224927	0.9979463776383343	Ara+1
SRR2584470	SRR2584520	98.0496	0.0132573	0.9951730633388274	Ara+1
SRR2584470	SRR2584521	98.9951	0.0135508	0.9963911945146157	Ara+1
SRR2584470	SRR2584522	99.6323	0.0148187	0.997101814516129	Ara+1
SRR2584470	SRR2086043	99.5671	0.0155619	0.9970631424375918	Ara+1
SRR2584470	SRR2086070	99.6312	0.0300913	0.9960386234216391	Ara+1
SRR2584470	SRR2584524	99.4799	0.164662	0.9967877219594896	Ara+1
SRR2584470	SRR2584534	97.2469	1	0.9913319849754406	Ara+1
SRR2584470	SRR22764941	99.6197	0.182269	0.9840092106946399	Ara+1
SRR2584490	SRR2584518	98.1314	0.0168963	0.9969494972319511	Ara+1
SRR2584490	SRR2584508	99.8393	0.0223484	0.9951298701298701	Ara+1
SRR2584490	SRR2584519	99.6484	0.0246831	0.9966819221967963	Ara+1
SRR2584490	SRR2584520	99.9311	0.0162749	0.9965303593556382	Ara+1
SRR2584490	SRR2584521	99.7695	0.017653	0.9969635627530364	Ara+1
SRR2584490	SRR2584522	99.9219	0.0181917	0.997643362136685	Ara+1
SRR2584490	SRR2086043	96.4555	0.0157789	0.9976961319267612	Ara+1
SRR2584490	SRR2086070	99.5178	0.0304804	0.9966613082725362	Ara+1
SRR2584490	SRR2584524	98.6472	0.170926	0.9970833752388615	Ara+1
SRR2584490	SRR2584534	98.0098	1	0.9927393482298643	Ara+1
SRR2584490	SRR22764941	98.6705	0.186761	0.9728391927909633	Ara+1
SRR2584518	SRR2584508	99.5597	0.0220623	0.9955304634203717	Ara+1
SRR2584518	SRR2584519	99.2979	0.0231524	0.9975923919585892	Ara+1
SRR2584518	SRR2584520	99.8075	0.0141502	0.9975961538461539	Ara+1
SRR2584518	SRR2584521	98.3511	0.0134036	0.9976007071599949	Ara+1
SRR2584518	SRR2584522	99.1349	0.0122604	0.9973608143772779	Ara+1
SRR2584518	SRR2086043	99.7149	0.0144049	0.9978548895899053	Ara+1
SRR2584518	SRR2086070	97.3833	0.0259767	0.9969248965109403	Ara+1
SRR2584518	SRR2584524	99.4592	0.170926	0.9948874250319536	Ara+1
SRR2584518	SRR2584534	99.8122	1	0.9822215544871795	Ara+1
SRR2584518	SRR22764941	99.7689	0.182269	0.979612511080157	Ara+1
SRR2584508	SRR2584519	98.265	0.028588	0.9986716580123174	Ara+1
SRR2584508	SRR2584520	99.5739	0.0214999	0.9956808943089431	Ara+1
SRR2584508	SRR2584521	99.1901	0.0212923	0.9961001383821865	Ara+1
